Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions
New Pill Technologies,https://www.crunchbase.com/organization/new-pill-technologies,155000,USD,155000,"Artificial Intelligence, Cannabis, Health Care","Brooklyn, New York, United States",New Pill Technologies is an AI technology company that develops cannabis personalized dosing and delivery method.,"89,618","Greater New York Area, East Coast, Northeastern US"
Houston Research Chemicals Online,https://www.crunchbase.com/organization/houston-research-chemicals-online,,,,"E-Commerce, Insurance, Manufacturing","Los Angeles, California, United States",We are a reputable and legit manufacturer and distributor of laboratory chemicals used for scientific research and other field studies.,"115,071","Greater Los Angeles Area, West Coast, Western US"
infinit Bio,https://www.crunchbase.com/organization/infinit-bio,,,,"Biotechnology, Manufacturing, Medical","Berlin, Berlin, Germany",infinit Bio manufactures psychedelics through biosynthesis.,"168,957",European Union (EU)
Emotional Intelligence Ventures,https://www.crunchbase.com/organization/emotional-intelligence-ventures,,,,Health Care,,"We're creating The New Standard of Mental Wellness through novel botanical psychedelics, functional mushrooms, & tech.","169,843",
AJNA BioSciences,https://www.crunchbase.com/organization/ajna-biosciences,,,,"Biotechnology, Medical, Pharmaceutical","Littleton, Colorado, United States",AJNA BioSciences is a botanical drug development company focused on psilocybin and other naturally derived psychedelics.,"201,335","Greater Denver Area, Western US"
Hyka,https://www.crunchbase.com/organization/hyka,,,,Health Care,"Boston, Massachusetts, United States",Platform for providers to connect patients with the latest mental health treatments — from brain stimulation to psychedelics.,"203,107","Greater Boston Area, East Coast, New England"
The Third Wave,https://www.crunchbase.com/organization/the-third-wave-2,,,,Information Technology,,Media and wellness brand focused on supporting responsible psychedelic use to improve overall well-being.,"247,029",
Shaman Pharma,https://www.crunchbase.com/organization/shaman-pharma,,,,"Biotechnology, Cannabis, Life Science, Pharmaceutical",,Psychedelics,"312,772",
IntroSpect Digital Therapeutics,https://www.crunchbase.com/organization/introspect-digital-therapeutics,,,,Health Care,,IntroSpect Digital Therapeutics provides a mental healthcare system designed to extend the potential of psychedelics-assisted psychotherapy.,"329,144",
Magic Myco Farms,https://www.crunchbase.com/organization/magic-myco-farms,,,,,,"Magic Myco Farm was founded in 2007, We are the No.1 online distributor of legal psychedelics","337,323",
EntheogeniX Biosciences,https://www.crunchbase.com/organization/entheogenix-biosciences,,,,"Artificial Intelligence, Biotechnology, Pharmaceutical","Wilmington, Delaware, United States",Using AI and computational biophysics to uncover new medicines from desired psychedelics.,"344,404","Greater Philadelphia Area, East Coast, Southern US"
TruCelium,https://www.crunchbase.com/organization/trucelium,,,,,,"A health company producing nutraceutical mushroom superfoods as a bulk powder ingredient, supplying them to address a massive supply gap.","477,714",
HealingMaps,https://www.crunchbase.com/organization/healingmaps,,,,,"Miami, Florida, United States",Healing Maps offers education and information about psychedelic-assisted therapies related to Ketamine and beyond.,"653,114","Greater Miami Area, East Coast, Southern US"
Nikean Foundation,https://www.crunchbase.com/organization/nikean-foundation,,,,,"Toronto, Ontario, Canada",It devotes its resources to programs that advance psychedelic science in hopes that we can build better tools for mental health care.,"774,709",Great Lakes
Alan Aldous Communications,https://www.crunchbase.com/organization/alan-aldous-communications,,,,,,Cannabis & Psychedelics PR Company.,"824,478",
Felicity Pharma,https://www.crunchbase.com/organization/felicity-pharma,,,,Biotechnology,,Felicity Pharma is a biotech firm specializing in the use of psychedelics to treat chronic pain and mood disorders in women.,"879,836",
Entheogen,https://www.crunchbase.com/organization/entheogen,,,,,,"Entheogen is a podcast focusing on psychedelics used in therapeutic, medicinal, sacramental, and recreational contexts.","916,939",
SERVE,https://www.crunchbase.com/organization/serve-dcbe,,,,"Business Development, Cannabis","Tel Aviv, Tel Aviv, Israel",Cannabis + Psychedelics international business development services,"1,046,052",
PerceiveMD,https://www.crunchbase.com/organization/perceivemd,,,,Cannabis,"Victoria, British Columbia, Canada","PerceiveMD is a patient-focused center providing free, comprehensive assessments for medical cannabis.","1,301,972",
Verrian,https://www.crunchbase.com/organization/verrian,,,,Health Care,"München, Bayern, Germany",Verrian is focused on validating promising pre-clinical evidence for treatment of addiction through natural psychedelics.,"1,335,774",European Union (EU)
MICRO,https://www.crunchbase.com/organization/micro-2e68,,,,Health Care,,Psychedelics to treat mental health disorders,"1,363,265",
Wrooted,https://www.crunchbase.com/organization/wrooted,,,,"Cannabis, Information Services, News",,"Discover the science and history behind psychedelics, hallucinogens, entheogens, and entactogens.","1,524,147",
chemstore07,https://www.crunchbase.com/organization/chemstore07,,,,,,"Chemstore07 is a secure marketplace that allows you to buy research chemicals online with overnight shipping, both in the UK and USA.","1,716,747",
Benuvia,https://www.crunchbase.com/organization/benuvia,,,,"Biotechnology, Manufacturing, Pharmaceutical","Round Rock, Texas, United States",Benuvia is a drug developer and manufacturer of cannabinoids and psychedelics.,"1,891,248",Southern US
PSYCH,https://www.crunchbase.com/organization/psych,,,,Marketing,"London, England, United Kingdom",PSYCH is a data and insights platform for the psychedelic healthcare industry.,"1,895,236",
