Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
StationMD,https://www.crunchbase.com/organization/stationmd,"Alternative Medicine, Emergency Medicine, Health Care, Home Health Care, Medical, Medical Device, SaaS, Software","Scotch Plains, New Jersey, United States",SaaS based telemedicine provider of Medical Services,"23,617",1,3200000,USD,3200000,3200000,USD,3200000
Beekeeper's Naturals,https://www.crunchbase.com/organization/beekeeper-s-naturals,"Alternative Medicine, Health Care, Medical, Pharmaceutical","Toronto, Ontario, Canada",Beekeeper’s Naturals is a natural health product company dedicated to bringing you the highest quality superfoods from the hive.,"26,283",6,,,,3500000,USD,3500000
NantOmics,https://www.crunchbase.com/organization/nantomics,"Alternative Medicine, Biotechnology, Cloud Data Services, Genetics, Health Care, Life Science","Culver City, California, United States",NantOmics develops cloud-based molecular profiling tools that help guide cancer patients.,"27,765",1,250800000,USD,250800000,250800000,USD,250800000
Azitra,https://www.crunchbase.com/organization/azitra,"Alternative Medicine, Biotechnology, Consumer Goods, Health Care","Branford, Connecticut, United States",Azitra is a clinical-stage medical dermatology company that leverages extensive scientific knowledge about the skin microbiome.,"29,552",9,17000000,USD,17000000,37844700,USD,37844700
Zcl Chemicals,https://www.crunchbase.com/organization/zcl-chemicals,"Alternative Medicine, Emergency Medicine, Pharmaceutical","Mumbai, Maharashtra, India",Zcl Chemicals is the fastest growing Pharmaceutical companies in India that combines the power of Science & Technology.,"31,771",1,1700000000,INR,25058112,1700000000,INR,25058113
Curejoy,https://www.crunchbase.com/organization/curejoy,"Advice, Alternative Medicine, Fitness, Health Care","San Francisco, California, United States","Curejoy provide expert Advice on Natural Cure, Fitness & Beauty.","33,885",2,4400000,USD,4400000,5550000,USD,5550000
EvidenceCare,https://www.crunchbase.com/organization/evidencecare,"Alternative Medicine, Health Care, Medical","Brentwood, Tennessee, United States",EvidenceCare is a decision-support tool for providers that's rooted in evidence-based medicine and individualized to each patient.,"36,787",4,8800000,USD,8800000,12800000,USD,12800000
Ilera Healthcare,https://www.crunchbase.com/organization/ilera-healthcare,"Alternative Medicine, Health Care, Medical","Newtown Square, Pennsylvania, United States","Ilera Healthcare is a premier medical marijuana cultivator, processor, and dispenser.","39,261",1,25000000,USD,25000000,25000000,USD,25000000
Dalrada Corporation,https://www.crunchbase.com/organization/dalrada-financial-corp,"Alternative Medicine, Apps, Clean Energy, Enterprise Software, Genetics, Green Consumer Goods, Mechanical Design, Mechanical Engineering, Staffing Agency","San Diego, California, United States","Dalrada Corporation provides innovative global solutions through science, health, clean energy, fengineering, and technology.","39,287",1,3000000,USD,3000000,3000000,USD,3000000
Aralez Pharmaceuticals,https://www.crunchbase.com/organization/pozen-inc,"Alternative Medicine, Biotechnology, Health Care, Medical","Brooklyn, New York, United States",Aralez Pharmaceuticals is a global specialty pharmaceutical company.,"40,057",1,350000000,USD,350000000,350000000,USD,350000000
Labcyte,https://www.crunchbase.com/organization/labcyte,"Alternative Medicine, Biotechnology, Life Science, Pharmaceutical","San Jose, California, United States",Lab­cyte is the maker of Echo Acoustic Liquid Handling systems for life sciences.,"41,954",10,4999999,USD,4999999,75295999,USD,75295999
Revel Technologies,https://www.crunchbase.com/organization/revel-technologies,Alternative Medicine,"Berkeley, California, United States",Revel Technologies is making the world’s first caffeine alternative.,"42,367",3,255999,USD,255999,3380999,USD,3380999
Alternate Health,https://www.crunchbase.com/organization/alternate-health,"Alternative Medicine, Health Care, Medical, Medical Device","San Antonio, Texas, United States",Alternate Health is a healthcare investment company specializing in the software development for the healthcare industry.,"43,330",2,20000000,USD,20000000,25552512,USD,25552512
Pathfinder Medical,https://www.crunchbase.com/organization/stent-tek,Alternative Medicine,"London, England, United Kingdom",Pathfinder is developing a novel catheter based system that provides a better way for patients to receive haemodialysis for kidney failure.,"48,505",5,8500000,GBP,11557282,13278002,USD,13278002
Yudao Bio,https://www.crunchbase.com/organization/yudao-bio,"Alternative Medicine, Biopharma, Biotechnology, Health Care, Medical","Shanghai, Shanghai, China",Yudo Bio is a provider of  biopharmaceutical products,"48,728",2,40000000,USD,40000000,40000000,USD,40000000
InGeneron,https://www.crunchbase.com/organization/ingeneron,"Alternative Medicine, Biotechnology, Health Care, Therapeutics","Houston, Texas, United States","InGeneron enables novel, safe, and evidence-based therapies that unlock the healing potential of each patient's own regenerative cells.","51,717",4,23000000,USD,23000000,51000005,USD,51000005
Annoroad,https://www.crunchbase.com/organization/annoroad,"Alternative Medicine, Biotechnology, Health Care, Life Science, Medical","Beijing, Beijing, China",Annoroad is leading developer and marketer on genomic innovation technologies for research and clinical market.,"52,633",4,700000000,CNY,105497155,105497155,USD,105497155
DrugStars,https://www.crunchbase.com/organization/drugstars,"Alternative Medicine, Apps, Mobile","Copenhagen, Hovedstaden, Denmark",DrugStars is a Copenhagen-based company that provides a mobile medicine tracker.,"52,929",2,18000000,DKK,2705306,21500000,DKK,3211352
Neuroplast,https://www.crunchbase.com/organization/neuroplast,"Alternative Medicine, Therapeutics","Geleen, Limburg, The Netherlands","Neuro-regenerative personalized medicine is one of the most promising therapies, which needs dedicated uniform standards and regulations.","53,051",2,10000000,EUR,11317952,14000000,EUR,15641875
RegCell,https://www.crunchbase.com/organization/regcell,"Alternative Medicine, Clinical Trials, Outpatient Care","Kyoto, Kyoto, Japan",RegCell is a novel therapeutics company.,"56,465",2,20260000,JPY,183017,640670800,JPY,5609147
Innomedica,https://www.crunchbase.com/organization/innomedica,"Alternative Medicine, Nanotechnology, Pharmaceutical","Zug, Zug, Switzerland",InnoMedica’s patented technology of a highly innovative drug delivery system.,"56,982",5,10250000,CHF,10320177,23481149,USD,23481149
Matrixome,https://www.crunchbase.com/organization/matrixome,"Alternative Medicine, Health Care, Medical, Nursing and Residential Care, Product Research","Suita, Osaka, Japan",Matricome develops regenerative medicines by disseminating laminin E8 fragment technology.,"58,359",1,275000000,JPY,2272090,275000000,JPY,2272091
Gemstone Biotherapeutics,https://www.crunchbase.com/organization/gemstone-biotherapeutics,"3D Technology, Alternative Medicine, Biotechnology, Therapeutics","Baltimore, Maryland, United States",Gemstone Biotherapeutics is a pre-clinical research and development initiative.,"62,482",5,250000,USD,250000,5225000,USD,5225000
EmOpti,https://www.crunchbase.com/organization/emopti,"Alternative Medicine, Health Care, Medical, Software","Brookfield, Wisconsin, United States","EmOpti provides software, hardware, consulting, and telehealth solutions for optimizing emergency medicine.","62,570",6,,,,7351000,USD,7351000
Prime Health Services,https://www.crunchbase.com/organization/prime-health-services,"Alternative Medicine, Health Care, Insurance, Medical","Brentwood, Tennessee, United States","Prime Health Services is one of the largest Non-Risk Bearing PPOs in the United States. PRIME focuses on the workers' compensation, auto","65,164",1,8000000,USD,8000000,8000000,USD,8000000
Kures,https://www.crunchbase.com/organization/kures,"Alternative Medicine, Biotechnology, Health Care, Therapeutics","Dobbs Ferry, New York, United States",Kures is a pre-clinical-stage biopharmaceutical startup that develops opioid-based treatments for depressive disorder.,"65,574",1,4241236,USD,4241236,4241236,USD,4241236
CellSeed,https://www.crunchbase.com/organization/cellseed,"Alternative Medicine, Health Care, Market Research","Tokyo, Tokyo, Japan",CellSeed develops regenerative medicine products primarily in Japan and Europe.,"68,907",4,509328000,JPY,4989297,3168228000,JPY,30065061
CAPS Medical,https://www.crunchbase.com/organization/caps-medical,"Alternative Medicine, Health Care, Health Diagnostics, Medical","Or Yehuda, Tel Aviv, Israel",CAPS Medical is a medical device company focused on the development and commercialization of cancer treatment using Cold Atmospheric Plasma.,"69,391",1,3500000,USD,3500000,3500000,USD,3500000
Periotherapia,https://www.crunchbase.com/organization/periotherapia,"Alternative Medicine, Personal Health, Therapeutics","Osaka, Osaka, Japan",Periotherapia is a drug discovery business with triple negative breast cancer as the first indication.,"69,410",3,300000000,JPY,2844892,590000000,JPY,5434776
"Arrinex, Inc.",https://www.crunchbase.com/organization/arrinex-inc,"Alternative Medicine, Health Care, Medical, Medical Device","Redwood City, California, United States",Arrinex is a privately funded medical device company based in the Silicon Valley.,"73,459",1,2530000,USD,2530000,2530000,USD,2530000
Adocia,https://www.crunchbase.com/organization/adocia,"Alternative Medicine, Biotechnology, Therapeutics","Lyon, Rhone-Alpes, France",Adocia is a biotechnology company specializing in tissue regeneration and developing medicines with already-approved therapeutic proteins.,"74,932",3,6000000,EUR,6957901,32000000,EUR,44010139
NutraMed,https://www.crunchbase.com/organization/nutramed,"Alternative Medicine, Biotechnology, Manufacturing","Chino, California, United States","Nutramed develops, manufactures, and markets tablet capsules and powder nutritional supplements in the United States and internationally.","78,222",1,12500000,USD,12500000,12500000,USD,12500000
Xiangya Group,https://www.crunchbase.com/organization/xiangya-group,"Alternative Medicine, Health Care, Manufacturing","Shenzhen, Guangdong, China","Xiangya Group is engaged in the research, development, and manufacture of all-natural medicinal and edible healthy food without additives.","79,879",2,131000000,USD,131000000,151000000,USD,151000000
Intrinsic LifeSciences,https://www.crunchbase.com/organization/intrinsic-lifesciences,"Alternative Medicine, Biotechnology, Genetics, Health Diagnostics, Life Science","La Jolla, California, United States","Intrinsic LifeSciences LLC, a life sciences company, develops in vitro diagnostic devices for clinical medicine applications","80,029",1,4450000,USD,4450000,4450000,USD,4450000
Excellos,https://www.crunchbase.com/organization/excellos,"Advanced Materials, Alternative Medicine, Health Care, Life Science, Medical, Product Research","San Diego, California, United States","Excellos is a developer and manufacturer of cell, gene therapies.","86,111",1,15000000,USD,15000000,15000000,USD,15000000
Keck School of Medicine,https://www.crunchbase.com/organization/keck-school-of-medicine,"Alternative Medicine, Education, Health Care","Los Angeles, California, United States",Keck School of Medicine is a school.,"92,724",2,3400000,AUD,2559778,4150000,AUD,3124435
Ortho Regenerative Technologies Inc.,https://www.crunchbase.com/organization/ortho-regenerative-technologies-inc,"Alternative Medicine, Biotechnology, Health Care","Quebec, Quebec, Canada",Ortho Regenerative Technologies Inc. is an orthopedic biotechnology company,"116,297",1,3200000,USD,3200000,3200000,USD,3200000
Case Western Reserve University School of Medicine,https://www.crunchbase.com/organization/case-western-reserve-university-school-of-medicine,"Alternative Medicine, Education, Medical","Cleveland, Ohio, United States",Case Western Reserve University School of Medicine is a leader and innovator in the fields of medical education and biomedical research.,"119,015",3,3340000,USD,3340000,14640000,USD,14640000
BioCardia,https://www.crunchbase.com/organization/biocardia,"Alternative Medicine, Biotechnology, Medical, Therapeutics","San Carlos, California, United States",BioCardia is a clinical-stage regenerative medicine company.,"173,704",1,7400000,USD,7400000,7400000,USD,7400000
PneumRx,https://www.crunchbase.com/organization/pneumrx,"Alternative Medicine, Biotechnology, Health Care, Medical, Medical Device","Mountain View, California, United States",PneumRx is a medical device company focused on developing minimally-invasive solutions for unmet medical needs in pulmonary medicine.,"203,930",4,33000000,USD,33000000,73125000,USD,73125000
BioMimetic Therapeutics,https://www.crunchbase.com/organization/biomimetic-therapeutics,"Alternative Medicine, Biotechnology, Health Care, Medical, Medical Device, Sports, Wellness","Franklin, Tennessee, United States",BioMimetic Therapeutics is a provider of orthopedic consultation and health care to patients.,"211,422",7,2918951,USD,2918951,59918955,USD,59918955
Shenzhen Pengai Medical Beauty Hospital,https://www.crunchbase.com/organization/shenzhen-pengai-medical-beauty-hospital,"Alternative Medicine, Health Care, Medical","Nanshan, Hunan, China",Shenzhen Pengai Medical Beauty Hospital provider of aesthetic medical services in China.,"219,704",1,15000000,USD,15000000,15000000,USD,15000000
InControl Medical,https://www.crunchbase.com/organization/incontrol-medical-brookfield-wisconsin,"Alternative Medicine, Biotechnology, Health Care, Medical, Medical Device, Personal Health","Brookfield, Wisconsin, United States",InControl Medical develops devices that aim to treat urinary and fecal incontinence.,"244,054",2,3200000,USD,3200000,3900000,USD,3900000
HistoRx,https://www.crunchbase.com/organization/historx,"Alternative Medicine, Biotechnology, Therapeutics","New Haven, Connecticut, United States",HistoRx is a biotech company developing personalized medicine to improve individualized patient care.,"258,276",5,2600000,USD,2600000,15260546,USD,15260546
Milagen,https://www.crunchbase.com/organization/milagen,"Alternative Medicine, Health Care, Health Diagnostics","Emeryville, California, United States",Milagen is developing and commercializing innovative products to improve the quality of life of patients suffering from cancer.,"292,094",2,3080000,EUR,3634471,4037000,EUR,4473767
Oxxon Therapeutics,https://www.crunchbase.com/organization/oxxon-therapeutics,"Alternative Medicine, Biotechnology, Health Care, Hospitality, Medical","Oxford, Oxfordshire, United Kingdom","Oxxon Pharmaccines Ltd., an Oxford, UK-based biotech company focused on immunotherapies.","330,309",1,15000000,GBP,23589170,15000000,GBP,23589171
ProChon Biotech,https://www.crunchbase.com/organization/prochon-biotech,"Alternative Medicine, Biotechnology, Health Care","Woburn, Massachusetts, United States",ProChon is a biotechnology company developing a fibroblast growth factor system for tissue regeneration.,"377,150",1,3950000,USD,3950000,3950000,USD,3950000
Exponential Biotherapies,https://www.crunchbase.com/organization/exponential-biotherapies,"Alternative Medicine, Biotechnology, Medical, Pharmaceutical, Therapeutics","The Hague, Zuid-Holland, The Netherlands",Exponential Biotherapies develops therapeutics to attenuate overreactions of the immune system.,"435,974",1,10500000,USD,10500000,10500000,USD,10500000
Calistoga Pharmaceuticals,https://www.crunchbase.com/organization/calistoga-pharmaceuticals,"Alternative Medicine, Biotechnology, Medical","Seattle, Washington, United States",Calistoga Pharmaceuticals develops therapeutic oral medicines for patients suffering from cancer and inflammatory diseases.,"478,295",5,40000000,USD,40000000,97200000,USD,97200000
Core Essence Orthopaedics,https://www.crunchbase.com/organization/core-essence-orthopaedics,"Alternative Medicine, Biotechnology, Health Care","Fort Washington, Pennsylvania, United States",Core Essence Orthopaedics creates products that help high-volume sports medicine procedures involving soft tissue and skeletal repair.,"652,357",4,432029,USD,432029,18432029,USD,18432029
Resonant Medical,https://www.crunchbase.com/organization/resonant-medical,"Alternative Medicine, Biotechnology, Health Care, Life Science, Medical Device","Montréal, Quebec, Canada","Resonant Medical develops, manufactures, and commercializes 3D ultrasound image-guided adaptive radiotherapy products.","662,706",1,24000000,USD,24000000,24000000,USD,24000000
