Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Headquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring
Mobisummer,https://www.crunchbase.com/organization/mobisummer,"Affiliate Marketing, Marketing, Mobile Advertising","Guangdong, Jilin, China",Mobisummer is a leading global mobile network.,"23,517",1,100000000,CNY,15849367,100000000,CNY,15849368,Asia-Pacific (APAC),,,Active,2014-01-01,year,,,,,For Profit,http://mobisummer.com/,,,https://www.linkedin.com/company/7790323,support@mobisummer.com,,,,"Founded in 2014, Mobisummer is a rapidly growing performance based mobile network, with a very passionate, dedicated and experienced team. They concentrate on Easy&Effective solution for both advertiser and publisher. They partner with many companies worldwide, achieving excellent global coverage.",
LetyShops,https://www.crunchbase.com/organization/letyshops,"Advertising Platforms, Affiliate Marketing, Coupons, E-Commerce, Loyalty Programs, Marketing, Price Comparison, Shopping","Csomád, Pest, Hungary",Letyshops is a fast-growing international shopping platform that rewards users for online purchases.,"27,250",3,3000000,USD,3000000,3000000,USD,3000000,European Union (EU),,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://letyshops.com/,,https://www.facebook.com/LetyShops.ES/,https://www.linkedin.com/company/letyshops-ru/,igor@letyshops.com,,1,,"Letyshops gives users an easy way to save money when they shop online and helps partners to sell more, earn client’s loyalty and acquire new ones. Operating in 10 regions and having 20 million users worldwide, the company is one of the fastest-growing Rewards Apps in the world.",
Qoala,https://www.crunchbase.com/organization/qoala-b5c0,"Affiliate Marketing, E-Commerce, Information Technology, Internet, Sales","Madrid, Madrid, Spain",Qoala is a browser extension that finds and applies discount codes on online stores and provides its users with cashback,"31,699",3,391365,EUR,430165,1436365,EUR,1667752,European Union (EU),,,Active,2019-03-01,month,,,,,For Profit,https://joinqoala.com,,https://www.facebook.com/JQOALA/,https://www.linkedin.com/company/joinqoala,tito@joinqoala.com,,6,,"Qoala, founded in 2019, is a browser extension that finds and applies discount codes on online stores and provides its users with cashback, creating a more reliable purchase funnel for more than its 3000 affiliated stores and ensuring its customers will take advantage of the best available deals while shopping online.",
TVPage,https://www.crunchbase.com/organization/tvpage-inc,"Advertising, Affiliate Marketing, Content Marketing, Digital Marketing, Digital Media, E-Commerce, SaaS, Social Media Marketing, Video, Video Streaming","San Diego, California, United States","Enabling brands to turn store associates, influencers & customers into online salespeople.","32,196",3,3000000,USD,3000000,8900000,USD,8900000,"Greater San Diego Area, West Coast, Western US",,$1M to $10M,Active,2012-03-02,day,,,,,For Profit,http://www.tvpage.com,http://twitter.com/tvpage,http://www.facebook.com/mytvpage,http://www.linkedin.com/company/1374252,info@tvpage.com,858-427-4909,9,,"TVPage enables salespeople beyond the limitations of physical stores by activating storefronts on ecommerce sites, where they post shoppable content. Salespeople drive traffic to their storefronts from their social audiences, generating new engagement and sales. Shoppable videos become discoverable on Google search. TVPage serves the entire experience, and directly reports on all sales. Salespeople earn a commission from their sales, paid directly on the app.",
Panshi,https://www.crunchbase.com/organization/panshi,"Advertising, Advertising Platforms, Affiliate Marketing","Hangzhou, Zhejiang, China",Panshi is an online and mobile advertising firm that offers online advertising services to small and medium enterprises.,"38,194",4,2250000000,CNY,324805950,655181114,USD,655181114,Asia-Pacific (APAC),,$50M to $100M,Active,2004-01-01,year,,,,,For Profit,https://www.adyun.com/zh-cn/index.html,https://twitter.com/panshi69275320,https://www.facebook.com/panshibeuty,https://www.linkedin.com/company/panshi-information-technology/,,400-100-1110,2,Unicorn,"Panshi was created in the year of 2004 by Tian Ning, elite of Internet field and his team. Panshi devotes itself to digitization & the construction and development of global new economy driven by the Internet big data technology revolution. It has been deployed global Panshi Cloud large-scale data center and integrated & utilized Panshi Cloud Big Data of decades.",
Frontida Biopharm,https://www.crunchbase.com/organization/frontida-biopharm,"Affiliate Marketing, Biopharma, Biotechnology, Health Care, Manufacturing, Pharmaceutical","Exton, Pennsylvania, United States","Frontida Biopharm, Inc., an affiliate of Frontage Laboratories, Inc., is a Contract Development and Manufacturing Organization.","41,226",1,8350000,USD,8350000,8350000,USD,8350000,"Greater Philadelphia Area, Great Lakes, Northeastern US",,$50M to $100M,Active,2015-01-01,year,2021-12-01,day,,,For Profit,http://frontidabiopharm.com/,,,https://www.linkedin.com/company/frontida-biopharm-inc.,info@frontidabiopharm.com,(484)348-4802,1,,"Frontida Biopharm, Inc., an affiliate of Frontage Laboratories, Inc., is a Contract Development and Manufacturing Organization supporting biopharmaceutical companies in the scale-up and commercial manufacture of immediate and controlled release oral solid dose products. Frontida offers the capability to manufacture Highly Potent Active Ingredient (HPAI) products, Combination Products, as well as DEA schedules II – V products. Its patented Duragran® granulation process eliminates the need for traditional extrusion and compaction manufacturing steps, enhances drug loading, and creates better engineered and lower production-cost controlled release products.",
Bitmo,https://www.crunchbase.com/organization/bitmo,"Advertising Platforms, Affiliate Marketing, Business Intelligence, Consumer Research, Digital Marketing, Loyalty Programs, Mobile Apps, Mobile Payments, Retail Technology","Carlsbad, California, United States",Mobile rewards and payment app that leverages data to better connect brands and consumers,"41,498",2,3000000,USD,3000000,4525000,USD,4525000,"Greater San Diego Area, West Coast, Western US",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://bitmo.com/,https://twitter.com/BitmoApp,https://www.facebook.com/BitmoApp/,,support@bitmo.com,8668661492,2,,"Earn points and rewards on every purchase you make with thousands of top brands! Join your friends in earning gift card rewards, redeemable in-store or online, right from your bitmo digital wallet.",
Bonusway,https://www.crunchbase.com/organization/bonusway,"Advertising, Affiliate Marketing, Coupons, E-Commerce, Loyalty Programs, Shopping","Helsinki, Southern Finland, Finland","Bonusway is an online platform that provide its users with ecommerce loyalty programs, cash rewards, and online shopping solutions.","41,548",6,3700000,EUR,3962304,9301000,EUR,10495203,"European Union (EU), Nordic Countries, Scandinavia",,$1M to $10M,Active,2011-06-15,day,,,,,For Profit,http://www.bonusway.com,https://twitter.com/bonuswaycom,,https://www.linkedin.com/company/2514719,info@bonusway.com,,8,,"Bonusway is a Helsinki-based growth company. Bonusway offers cash rewards and online shopping inspiration for consumers. For eCommerce businesses they offer loyal customers and a way to reach their marketing goals. Bonusway operates in Russia, Nordic Countries CEE and Turkey and is the market leader in Northern and Eastern Europe with over 5 000 000 users and 8 000 eCommerce partners worldwide. In Russia Bonusway operates under brand Kopikot . Bonusway was formerly known as internationally as Bonusbay and in Finland as Ostohyvitys.fi",
Mavatar,https://www.crunchbase.com/organization/mavatar,"Affiliate Marketing, Big Data, Blockchain, E-Commerce, PaaS, Retail Technology","Menlo Park, California, United States",Mavatar make the world around us shop-able on blockchain.,"42,752",3,1600000,USD,1600000,4300000,USD,4300000,"San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,$1M to $10M,Active,2011-01-11,day,,,,,For Profit,http://www.mavatar.com,http://twitter.com/mavatar,http://www.facebook.com/mavatar,https://www.linkedin.com/company/2108752?trk=tyah&trkInfo=tarId%3A1418342821027%2Ctas%3Amavat%2Cidx%3A2-1-6,info@mavatar.com,+1 650 701 0007,3,,"Mavatar was one of the first companies to collect, track, and monetize physical (Omnichannel) data. Traditional and social media, CPGs, procurement sites, chain retailers, malls, and other businesses use the company's turnkey PaaS solutions on blockchain to build branded marketplaces, influence marketing platforms, and shoppable content publishing platforms.",
Phaver,https://www.crunchbase.com/organization/phaver,"Advertising, Affiliate Marketing, Consumer Reviews, Internet, Social Media, Social Network","Helsinki, Southern Finland, Finland","Phaver is platform to start communities around products, places, web pages and apps","43,333",2,1167000,EUR,1320349,1595349,USD,1595349,"European Union (EU), Nordic Countries, Scandinavia",,,Active,2019-08-20,day,,,,,For Profit,https://www.phaver.com,,https://www.facebook.com/phaverapp,https://www.linkedin.com/company/phaver/,info@phaver.com,+358406821523,,,"Phaver is platform to start communities around products, places, web pages and apps while earning affiliate revenue on recommendations. With Phaver, experts can generate recurring revenue from their knowledge and users can discover better products and places.",
Allya,https://www.crunchbase.com/organization/allya,"Affiliate Marketing, Collaboration, Employee Benefits, FinTech, Human Resources, Marketing, Professional Networking, Wellness","São Paulo, Sao Paulo, Brazil",Allya is a financial wellbeing platform that helps people save money.,"44,073",1,7500000,BRL,1383182,7500000,BRL,1383182,Latin America,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.allya.com.br/,,https://www.facebook.com/allyabrasil,https://www.linkedin.com/company/allyabrasil/,contato@allya.com.br,+55 11 3280-0880,5,,"Allya is a financial wellbeing platform that helps employees save money. They are increasing users' freedom of choice and purchasing power, connecting employees and companies to exclusive discounts and perks. As an all-in-one discount platform.They helps companies deliver a personalized benefit and unlimited access to the largest discount network.",
iYell,https://www.crunchbase.com/organization/iyell,"Affiliate Marketing, Content, CRM, Financial Services, Marketing, Real Estate, Social Media, Task Management","Tokyo, Tokyo, Japan","iYell Mortgage Platform consists of three pillars, Media that can be used for marketing, Technology to make the procedure more efficient.","51,492",3,1850000000,JPY,17713010,4160000000,JPY,38787750,Asia-Pacific (APAC),,,Active,2016-05-12,day,,,,,For Profit,https://iyell.co.jp/,https://twitter.com/iyell_happyell,https://ja-jp.facebook.com/iYell.corp/,,custom@iyell.jp,,,,"iYell Mortgage Platform consists of three pillars, Media that can be used for marketing, Technology to make the procedure more efficient.",
Munvo,https://www.crunchbase.com/organization/munvo,"Advertising, Affiliate Marketing, Information Services, Information Technology","Montréal, Quebec, Canada",Munvo is a consulting firm helping clients improve their marketing capabilities.,"51,733",1,6500000,USD,6500000,6500000,USD,6500000,,,$10M to $50M,Active,2005-01-01,day,,,,,For Profit,https://munvo.com/,https://twitter.com/munvomarketing/,https://www.facebook.com/pg/MunvoMarketing/,https://www.linkedin.com/company/munvo/,,,,,,
Rev Ventures,https://www.crunchbase.com/organization/revventures,"Advertising, Affiliate Marketing, Business Intelligence, Cannabis, Digital Marketing","San Diego, California, United States",RVG is a technology driven performance marketing ecosystem that brings together brands and people to solve life's challenges.,"51,996",2,1250000,USD,1250000,2250000,USD,2250000,"Greater San Diego Area, West Coast, Western US",,$500M to $1B,Closed,2017-11-01,month,,,,none,For Profit,,,,https://www.linkedin.com/company/rev-venture-group,Support@revoffers.com,,1,,"RVG is a portfolio of digital companies that brings together brands and people to solve life's challenges. Our growing portfolio of web technologies, digital properties and partnerships allow us to drive performance for our partners and quality buying experience for consumers. Our wholly-owned subsidiary and flagship company RevOffers is an advertising network connects brands with publishers who are looking to generate advertising revenue.",
Pointvoucher | Games & Rewards,https://www.crunchbase.com/organization/pointvoucher,"Advertising, Advertising Platforms, Affiliate Marketing, Casual Games, E-Commerce, Mobile Advertising, Online Games, Online Portals, Video Games","Copenhagen, Hovedstaden, Denmark",Play fun online games and earn real-life rewards from great brands.,"57,334",3,639904,GBP,838081,1856808,GBP,2421528,"European Union (EU), Nordic Countries, Scandinavia",,$1M to $10M,Active,2019-12-05,day,,,,,For Profit,https://www.pointvoucher.com,https://twitter.com/Pointvoucher,https://www.facebook.com/pointvoucher.games,https://www.linkedin.com/company/pointvoucher/,info@pointvoucher.com,,,,"Pointvoucher is a platform and games portal that creates a win-win-win solution for users, game developers, and brands through a three-sided loyalty platform where they can engage. 1. Users can earn points for time spent playing games that can be exchanged for real-life vouchers, gift cards, coupons, and more.  2. Game developers can publish their games directly on the portal or use the Pointvoucher Connect SDK to connect their game directly to the platform and enable their users to earn rewards no matter where the game is published. 3. Brands and retailers can publish gift cards, vouchers, coupons, and prize draws on the platform for free and get access to members in the eco-system.",
dubdub Inc.,https://www.crunchbase.com/organization/dubdub,"Advertising, Affiliate Marketing, E-Commerce, Information Technology, Mobile Apps, Video Advertising, Video Editing","Toronto, Ontario, Canada",Dubdub is the premier tech for creating quality shoppable video.,"59,719",2,,,,5000000,USD,5000000,Great Lakes,,,Closed,2015-01-01,year,,,,none,For Profit,https://dubdub.com/,https://twitter.com/dubdubstories,https://www.facebook.com/dubdubstories,https://www.linkedin.com/company/dubdub-stories,,1(855)693-8271,,,"Dubdub is a mobile video creation platform that offers a variety of tools to help brands, influencers and individuals seamlessly create, edit and share high quality, monetizable videos. Through their suite of digital and physical products; dubsuite, dubcandy and dubloft, dubdub guides its users through the complete process of making fully optimized online content.    dubdub is headquartered in Toronto and has additional offices in Montreal and New York.",
Clicksco,https://www.crunchbase.com/organization/clicksco,"Affiliate Marketing, Digital Media, E-Commerce, Marketing, Publishing, Software","London, England, United Kingdom","Clicksco collects and analyses information, brand, products, and services data from on and offline sources.","71,224",1,5000000,GBP,7615322,5000000,GBP,7615323,,,$1M to $10M,Closed,2009-01-01,year,,,2019-01-01,year,For Profit,http://clicksco.com/,https://twitter.com/clicksco,https://www.facebook.com/clicksco/,https://www.linkedin.com/company/clicksco-com/,london@clicksco.com,+97144345943,,,"Clicksco collects and analyses information, brand, products, and services data from on and offline sources. It offers search optimization and marketing, customer loyalty solutions, direct mail campaigns, bespoke Websites, specialist e-commerce tools, Web search, and comparison shopping solutions.  Clicksco also generates leads, aggregates prices, processes transactions, and manages the consumer relationship. It began operation in 2009, with its headquarters in Dubai in the United Arab Emirates.",
Team Odeon,https://www.crunchbase.com/organization/odeon-ventures,"Affiliate Marketing, Higher Education, Publishing, SEO","Limassol, Limassol, Cyprus",Team Odeon’s vision is to simplify complex education and career choices.,"71,587",1,2000000,EUR,2387500,2000000,EUR,2387501,European Union (EU),,,Active,2020-01-01,year,,,,,For Profit,https://www.teamodeon.com,,,https://www.linkedin.com/company/team-odeon/,info@teamodeon.com,+357-25-255586,,,"Team Odeon’s vision is to simplify complex education and career choices. We develop websites and tools to help potential students make optimal choices.  We feature expertly written and reviewed content, aggregation of data from a variety of sources (Bureau of Labor Statistics, IPEDS, Onet, Independent research firmsfunding & scholarship databases) and data driven insight tools.",
2key Network,https://www.crunchbase.com/organization/2key,"Affiliate Marketing, Blockchain, Cryptocurrency, Digital Marketing, Multi-level Marketing, Sharing Economy","Tel Aviv-jaffa, Tel Aviv, Israel","Re-inventing the link, letting you earn your fair reward on every link you share online.","71,981",3,1000000,USD,1000000,2500000,USD,2500000,,,$1M to $10M,Active,2017-06-07,day,,,,,For Profit,https://www.2key.network/,https://twitter.com/2keyNetwork,https://www.facebook.com/2keyNetwork/,https://www.linkedin.com/company/2key,hello@2key.network,,1,,"The digital ad sector is controlled by a handful of companies. While blockchain solutions have tried to combat this centralization, they haven’t attracted the masses because the solutions are incompatible with Web 2.0, and the blockchains they are built on fall short on either security, scalability, or decentralization. 2key Network is disrupting the sector by creating a seamless solution: integrating smart contracts into HTML links. Smart Links are compatible with not only the Web 3.0, but also the Web 2.0 as everyone on the net already utilizes/shares links. The Smart Link natively tracks who a link has been shared with and, if a link leads to a revenue-driving action, every sharer gets a share of the pie. 2key Network is democratizing distribution of value by enhancing something people already do: share links. To support network demands, 2key is built on its own second-layer Ethereum solution that crushes the blockchain trilemma.",
Limitl3ss,https://www.crunchbase.com/organization/limitl3ss,"Affiliate Marketing, E-Commerce, Marketplace, SaaS, Software","Los Angeles, California, United States",Innovative Performance Marketing Network,"74,914",2,300000,EUR,327115,1500000,EUR,1687176,"Greater Los Angeles Area, West Coast, Western US",,,Active,2019-01-01,year,,,,,For Profit,http://www.limitl3ss.network,,http://facebook.com/limitl3ss.network,,info@limitl3ss.network,,,,,
Influo,https://www.crunchbase.com/organization/phantompr,"Advertising, Affiliate Marketing, Content Marketing, Internet, Professional Services, Public Relations, SaaS, Social Media Marketing, Software","Ghent, Oost-Vlaanderen, Belgium",Influencer Relationship Management software,"76,799",5,700000,EUR,857681,1905000,EUR,2280003,European Union (EU),,Less than $1M,Active,2015-01-01,year,,,,,For Profit,http://www.influo.com,https://twitter.com/influo,https://www.facebook.com/pages/Influo/497180397088599?fref=ts,https://www.linkedin.com/company/4863925?trk=tyah&trkInfo=idx%3A1-1-1%2CtarId%3A1425498101809%2Ctas%3Ainfluo,hello@influo.be,+32 9 310 63 96,,,Influo helps the modern marketer tackle today’s increasingly complicated marketing landscape. It is the Swiss Army Knife for Influencer Marketing: our online platform brings influencers and marketers closer together and is a straightforward tool to manage your Influencer Relations from A to Z.,
