Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
LSD Information Technology,https://www.crunchbase.com/organization/lsd-information-technology,"Information Services, Information Technology","Johannesburg, NA - South Africa, South Africa","LSD Information Technology, a company specializing in Linux and enterprise open source technology.","259,237",,,,,,,
Ember Health,https://www.crunchbase.com/organization/ember-health,Health Care,"Brooklyn, New York, United States",Ember health provide effective ketamine therapy for people seeking relief from depression.,"263,087",,,,,,,
EMPClaims,https://www.crunchbase.com/organization/empclaims,"Health Care, Information Technology, Medical","Lombard, Illinois, United States",Medical Billing Company,"272,555",,,,,,,
Mindset Pharma,https://www.crunchbase.com/organization/mindset-pharma,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Toronto, Ontario, Canada",Mindset Pharma is a drug discovery business focused on creating novel and patentable psychedelic compounds.,"275,443",,,,,,,
"Amorsa Therapeutics, Inc.",https://www.crunchbase.com/organization/amorsa-therapeutics,"Biotechnology, Life Science, Therapeutics",,Amorsa is developing treatments for neuropsychiatric disorders.,"297,092",,,,,,,
Serenity Mental Health Centers,https://www.crunchbase.com/organization/serenity-mental-health-centers,"Health Care, Hospital, Medical, Wellness","Lehi, Utah, United States","Serenity Mental Health Centers provides transcranial magnetic stimulation and ketamine treatment, med management and ADHS testing services.","309,885",,,,,,,
Vocan Biotechnologies,https://www.crunchbase.com/organization/vocan-biotechnologies,"Biotechnology, Health Care","Victoria, British Columbia, Canada",Vocan Biotechnologies is a Canadian-based genetic engineering and biosynthesis research firm.,"337,135",,,,,,,
Usona Institute,https://www.crunchbase.com/organization/usona-institute,,"Madison, Wisconsin, United States",A not-for-profit medical research organization (MRO) dedicated to exploring psilocybin as a potential therapeutic to treat mental conditions,"345,280",,,,,,,
NeonMind Biosciences,https://www.crunchbase.com/organization/neonmind-biosciences,"Biotechnology, Clinical Trials, Health Care, Hospitality, Medical, Outpatient Care, Pharmaceutical, Social Assistance","Vancouver, British Columbia, Canada",NeonMind Biosciences is a psilocybin-based drug candidates targeting obesity.,"391,776",,,,,,,
ST Biosciences,https://www.crunchbase.com/organization/st-biosciences,Biotechnology,"New York, New York, United States",ST Biosciences focuses on the discovery and development of drugs with ingredients that are synthesized cannabidiols.,"401,002",,,,,,,
Klarisana,https://www.crunchbase.com/organization/klarisana,"Health Care, Hospital, Medical","San Antonio, Texas, United States",Klarisana is a mission-driven organization committed to rebuilding lives.,"428,440",,,,,,,
Ketamine Media,https://www.crunchbase.com/organization/ketamine-media,"Advertising, Graphic Design, Health Care, SEO, Web Development","Knoxville, Tennessee, United States","Ketamine Media expertise in SEO, web development, PPC management and search engine marketing with services for the healthcare industry.","429,887",,,,,,,
Transcend Biodynamics,https://www.crunchbase.com/organization/transcend-biodynamics,"Biotechnology, Life Science",,Transcend Biodynamics manufacturing patent “Process of synthesizing 2-Bromo-LSD.”,"443,348",,,,,,,
Bloom-Carroll Local School District,https://www.crunchbase.com/organization/bloom-carroll-local-school-district,"Education, Primary Education, Secondary Education","Carroll, Ohio, United States","Bloom-Carroll Local School District provides preschool, elementary and high school education.","460,449",,,,,,,
Nova Mentis Biotech,https://www.crunchbase.com/organization/nova-mentis-biotech,"Biotechnology, Cannabis, Health Care, Therapeutics","Vancouver, British Columbia, Canada",Nova Mentis Biotech is focused on investigating the anti-inflammatory effects of psilocybin in under-explored metabolic indications.,"485,589",,,,,,,
LSD Open,https://www.crunchbase.com/organization/lsd-open,,"Johannesburg, NA - South Africa, South Africa","Fully managed and engineered cloud native accelerator, leveraging a foundation of containerisation, Kubernetes and open source technologies","493,831",,,,,,,
BioOhio,https://www.crunchbase.com/organization/bioohio,"Biotechnology, Events, Project Management","Columbus, Ohio, United States",BioOhio is a non-profit membership organization.,"539,714",,,,,,,
Ketamine For Life - San Diego,https://www.crunchbase.com/organization/ketamine-for-life-san-diego,"Health Care, Health Diagnostics, Medical","Cardiff By The Sea, California, United States","Ketamine For Life provides intravenous ketamine infusions to treat severe depression, chronic pain and other psychiatric conditions.","555,228",,,,,,,
Bay Psychiatric Associates,https://www.crunchbase.com/organization/bay-psychiatric-associates,"Fitness, Health Care, Wellness","Berkeley, California, United States","Bay Psychiatric Associates is a psychiatric group practice that offers outpatient, inpatient, ketamine, and day treatment services.","566,111",,,,,,,
Lancaster School District,https://www.crunchbase.com/organization/lancaster-school-district,Education,"Lancaster, Pennsylvania, United States","LSD is the first school district in the Antelope Valley, which builds a future of opportunity for its students upon a legacy of excellence.","582,109",,,,,,,
LSD Live,https://www.crunchbase.com/organization/lsd-live,"Professional Services, TV Production, Video, Video Streaming","Buenos Aires, Distrito Federal, Argentina",Digital Video Production agency specialized in live video streaming.,"598,532",,,,,,,
Ketamine Health Centers,https://www.crunchbase.com/organization/ketamine-health-centers,Health Care,"Bonita Springs, Florida, United States","Ketamine Health Center is a mental health care firm helping depression, fibromyalgia, and post-traumatic stress disorder suffering patients.","623,324",,,,,,,
Hilaritas,https://www.crunchbase.com/organization/hilaritas,"Chemical, Pharmaceutical, Retail","Berlin, Berlin, Germany",LSD-derivatives Retail Business,"625,893",,,,,,,
Psyence,https://www.crunchbase.com/organization/psyence,"Biotechnology, Health Care, Life Science, Therapeutics","Toronto, Ontario, Canada",Psyence develops natural psilocybin products for the treatment of psychological trauma and mental health disorders,"631,088",,,,,,,
Axon klinikken,https://www.crunchbase.com/organization/axon-klinikken,Health Care,"Oslo, Oslo, Norway",Axon klinikken is a ketamine-assisted psychotherapy clinic in Norway.,"663,181",,,,,,,
Goddcity,https://www.crunchbase.com/organization/medsengage,"E-Commerce, Health Care, Pharmaceutical","Dorval, Quebec, Canada",GODDCITY  is a USA Online ketamine shop which offers 100% genuine brand and generic Ketamine online.,"671,189",,,,,,,
HealingMaps,https://www.crunchbase.com/organization/healingmaps,,"Miami, Florida, United States",Healing Maps offers education and information about psychedelic-assisted therapies related to Ketamine and beyond.,"688,192",,,,,,,
KETAMIND,https://www.crunchbase.com/organization/ketamind,"Association, Clinical Trials, Health Care, Medical, Medical Device","New York, New York, United States",KETAMIND is New York City's premier psychiatric ketamine clinic offering an innovative non-invasive ketamine nasal spray for depression.,"701,941",,,,,,,
Ixtlan Bioscience,https://www.crunchbase.com/organization/ixtlan-bioscience,"Biotechnology, Health Care","Caesarea, Hefa, Israel",Ixtlan Bioscience focused on developing psilocybin-based treatment for Alzheimer's Disease and Brain Pathologies.,"736,124",,,,,,,
Texas Ketamine Specialists,https://www.crunchbase.com/organization/texas-ketamine-specialists,"Health Care, Medical","Dallas, Texas, United States","A Dallas, Texas based clinic providing ketamine infusions for depression, PTSD, anxiety and chronic pain.","756,603",,,,,,,
Ketamine Infusion Center,https://www.crunchbase.com/organization/ketamine-infusion-center,"Alternative Medicine, Health Care, Medical Device, Therapeutics","Phoenix, Arizona, United States",Ketamine Infusion Center is to provide exceptional patient care while restoring hope for patients and their families.,"781,488",,,,,,,
FlyOverture Equity,https://www.crunchbase.com/organization/flyoverture-equity,,"Springfield, Oregon, United States","FlyOverture Equity is a British Columbia holding company which owns equity positions in CBD/hemp, cannabis, and psilocybin startup.","789,623",,,,,,,
Neuragain,https://www.crunchbase.com/organization/neuragain,"Health Care, Medical","New York, New York, United States",Neuragain is a providers of infusion based ketamine therapy.,"819,425",,,,,,,
Optical Solutions,https://www.crunchbase.com/organization/optical-solutions,Management Consulting,"Tokyo, Tokyo, Japan",Optical Solutions provides an optical problem solving such as a lens diffuser LSD.,"894,695",,,,,,,
Ketamine SLC,https://www.crunchbase.com/organization/ketamine-slc,"Health Care, Medical","Salt Lake City, Utah, United States",Medical Clinic ,"903,612",,,,,,,
Ketamine Clinics Los Angeles,https://www.crunchbase.com/organization/ketamine-clinics-los-angeles,Health Care,,"World-renowned pioneers of Ketamine Infusion Therapy for depression, anxiety, PTSD, & pain.","914,523",,,,,,,
Physicians Urgent Care,https://www.crunchbase.com/organization/physicians-urgent-care,"Emergency Medicine, Health Care, Hospital, Therapeutics","Franklin, Tennessee, United States",Physicians Urgent Care provides ketamine infusion therapy and primary care services.,"1,033,417",,,,,,,
PCAI Pharma,https://www.crunchbase.com/organization/pcai-pharma,"Artificial Intelligence, Biopharma, Cannabis, Pharmaceutical",,PCAI Pharma is engaged in the research and development of cannabis (cannabinoids) and mushrooms (psilocin).,"1,038,257",,,,,,,
LSD,https://www.crunchbase.com/organization/lsd-8f3d,"3D Printing, 3D Technology, Media and Entertainment, Training","Düsseldorf, Nordrhein-Westfalen, Germany","LSD develops packaging, advertising material, and media production.","1,102,994",,,,,,,
Eleusian Biosciences,https://www.crunchbase.com/organization/eleusian-biosciences,"Biotechnology, Therapeutics","Toronto, Ontario, Canada",Eleusian Biosciences is focused on development of therapeutics for multiple pathological psychological diseases.,"1,146,088",,,,,,,
Samabriva,https://www.crunchbase.com/organization/samabriva,Biotechnology,"Amiens, Picardie, France",Samabriva is a biotechnology company which has developed a disruptive platform .,"1,227,376",,,,,,,
Ready For Change,https://www.crunchbase.com/organization/ready-for-change,"Health Care, Hospital, Outpatient Care, Rehabilitation","Rotterdam, Zuid-Holland, The Netherlands",Ready For Change is a health care service provider for addiction treatment.,"1,308,509",,,,,,,
Interpersonal Psychiatry,https://www.crunchbase.com/organization/interpersonal-psychiatry,"Health Care, Medical, Wellness","Lawrence, Kansas, United States","Interpersonal Psychiatry is a healthcare firm that offers counseling, TMS treatment, ketamine infusion, and mental health services.","1,605,029",,,,,,,
Learn Self Defense,https://www.crunchbase.com/organization/learn-self-defense,"E-Learning, Fitness, Sports, Training, Video",,Learn Self Defense and Krav Maga by videos,"1,629,881",,,,,,,
"Paradigm Health, Wellness, & Aesthetics",https://www.crunchbase.com/organization/paradigm-health-wellness-aesthetics,Health Care,"Fremont, California, United States","Ketamine Infusion in Fremont, CA","1,651,773",,,,,,,
LSD,https://www.crunchbase.com/organization/lsd,"Advertising, Marketing, Media and Entertainment","Düsseldorf, Nordrhein-Westfalen, Germany","LSD expertise in marketing resource management that offers packaging development, advertising media and media production for market growth.","1,700,117",,,,,,,
Pain Management Associates of Connecticut,https://www.crunchbase.com/organization/pain-management-associates-of-connecticut,"Health Care, Hospital, Medical, Therapeutics","Stamford, Connecticut, United States",Pain Management Associates of Connecticut offers interventional treatments for chronic pain.,"1,717,496",,,,,,,
PharmAla Biotech,https://www.crunchbase.com/organization/pharmala-biotech,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","Toronto, Ontario, Canada",PharmAla Biotech is a biotechnology company that provides manufacturing and sales of MDMA substances to the clinical research community.,"1,733,668",,,,,,,
PsyRx,https://www.crunchbase.com/organization/psyrx,"Biotechnology, Health Care, Pharmaceutical","Tel Aviv, Tel Aviv, Israel",PsyRx is a pharmaceutical company that develops tissue culture protocols for producing psilocybin and ibogaine for the treatment.,"1,759,531",,,,,,,
Balance Ketamine Clinics Chicago,https://www.crunchbase.com/organization/balance-ketamine-clinics-chicago,Health Care,,ketamine fibromyalgia,"1,851,542",,,,,,,
LSDlibri.it,https://www.crunchbase.com/organization/lsdlibri-it,"Delivery, E-Commerce, EBooks, Publishing","Rome, Lazio, Italy",LSDlibri.it is an online shop that delivers an extensive array of new and used school books and varied books.,"1,880,285",,,,,,,
Ketamine Specialists,https://www.crunchbase.com/organization/ketamine-specialists,Health Care,,"Depression, addiction, chronic pain, and mood disorders.","1,914,224",,,,,,,
LateNightProjects,https://www.crunchbase.com/organization/latenightprojects,News,,Late Night Projects is an Android and iOS application developer. They mainly develop news based applications. Some notable titles include,"1,914,422",,,,,,,
LSD Gefahrstofflagertechnik,https://www.crunchbase.com/organization/lsd-gefahrstofflagertechnik,"Building Material, Commercial, Real Estate","Premnitz, Brandenburg, Germany","LSD Gefahrstofflagertechnik is a specialist in the planning, approval and execution of all relevant questions at your disposal.","1,923,366",,,,,,,
